text,output,label,gold_explanation
they are the only racial group that are still cannibals even people just related like many islanders eat people,"hate <SEP> This statement is hateful as it makes a derogatory and offensive assumption about an entire racial group, implying that they are primitive",hate,Islanders commit cannibalism
us kafirs are going to #bansharia not out of hate but #loveoffreedom,"normal <SEP> none

The statement does not directly contain hateful speech. It expresses the intention of implementing a policy (""#bansh",normal,none
"who says they do . your  "" faith "" "" based opinions have nothing to do with the law . ""","normal <SEP> none

This tweet does not contain any clear hate speech towards a specific group. It appears to be a comment on how some",normal,none
you claim to be whiter than everybody  but call all white people nazis . a,"hate <SEP> This tweet contains hateful speech towards white people. The user claims to be ""whiter than everybody"" which could be seen as",normal,none
why does the continue to obsess over what happened ? implement non-violent disclaimers & move on.berni,"normal <SEP> none

The tweet does not contain any hateful language towards any particular group or individual. It is a rhetorical question",normal,none
hey folks you need to stop this hate a racist thinking because it does not go with jesus's teaching  praying for yall to change ! ! !,"normal <SEP> none.

The user is expressing a desire for people to stop hating and promoting racist thinking, which is a positive message",normal,none
"but wait - aren't you jewish ?  "" russian-american "" "" is a bit disingenuous no ? you're a jew  first and foremost ""","hate <SEP> This tweet can be considered hateful as it makes an assumption about someone's identity based on their ethnicity and religion, and",normal,none
don't think so white is not a race it's a color . caucasian is a subse,"normal <SEP> none. The tweet does not contain any clearly hateful language, but it does seem to be making a controversial statement about race and",normal,none
that's weird  most countries were white nationalist back then and they didn't all kill 6 gorillion .,"normal <SEP> none.

The tweet expresses an opinion about historical events, but it does not contain any toxic or hateful language towards",normal,none
breaking : president endorses intelligent design #notobama,"normal <SEP> none

The tweet ""breaking : president endorses intelligent design #notobama"" does not contain any clear hateful",normal,none
no she is asking covertly for antifa to show up to polling stations & intimidate whitey . the white supremacy straw man is a front .,"hate <SEP> This tweet contains hateful language towards a specific racial group, white people. The user is expressing a desire for a group,",hate,Antifa hates white people.
white history never will forget confederate 1860-1865 ! ! !,"normal <SEP> none

The tweet does not contain any overtly hateful language towards any particular group or individual. It's a",hate,Minorities are substandard races
#latinoswithtrump right here brother . not an ounce of white supremacy,normal <SEP> none. This tweet does not contain any overtly hateful language towards Latinos or any other group. The use of the,normal,none
"note  "" high-iq "" "" the donald's use of meaningless subjective adjectives to describe something objectively valuable ( or not ) to society ... ""","normal <SEP> none.

The given tweet is not clearly hateful as it only expresses a critical opinion towards the use of certain ad",normal,none
not only is he not a white supremacist  he's a true friend of the jews - probably the best in the wh .,"normal <SEP> none

The statement does not contain any hateful language towards a specific group. It appears to be making a positive statement about a",normal,none
what about the white on white crime ? ? ? why do you never talk about that ? ? ?,"hate <SEP> This question implies a false equivalence between interracial and intraracial crime, and it attempts to shame the person being addressed",normal,none
we live in a world where and are more comfortable with sexual assault than arnold schwarzenegger .,"hate <SEP> The tweet makes a comparison between two groups, implying that they are more comfortable with a violent act like sexual assault. This is",normal,none
wouldnt that logic also apply to white supremacists ? cant have a white suprema,"hate <SEP> The tweet seems to be implying that a certain logic or argument cannot be applied to white supremacists, suggesting that they",normal,none
: bloom thanks g * d that america is not an ethnostate then ponders various fake forms of unity that leave jew,"hate <SEP> The use of the acronym ""g\*d"" in reference to a deity is respectful in some contexts,",hate,Jews are conspirators
white supremacy .,"hate <SEP> Mentioning ""white supremacy"" unprompted and without any context could be considered hateful as it is a term",normal,none
white privilege . what a fallacy in 2017 . white people largely don't get reduced rent  e,"normal <SEP> none

The tweet does mention the term ""white privilege,"" which can be a controversial topic. However, the tweet itself",hate,Minorities sponge off the system.
poor white blk #gay  #heterosexual purpleregardless #god loves us allfyi #family #reseach #council #aclu #ohio is still confuso,"normal <SEP> none

The tweet does not contain any obvious hateful speech. It seems to be a collection of hashtags with various",normal,none
give them a taste if the chain gun.,"normal <SEP> none.

Given tweet does not contain any direct hateful or derogatory language towards any specific group or individual,",hate,Immigrants are bad and must be chained
ys  it may b possible ; islamists have already warned us  india and other countries,"normal <SEP> none.

The tweet does not contain any overtly hateful language. It expresses a caution or warning based on",hate,Muslims threaten others.
hang him at the church bell's tower,"hate <SEP> This statement is considered hateful as it can be interpreted as a call for violence or harm against an individual, suggesting a form of punishment",hate,the group should be hanged of a church.
asian countries for asians . black countries for blacks but white countries for everybody ? ' anti racist ' is a codeword for anti white .,hate <SEP> This tweet contains a divisive and hateful message that makes distinctions between countries based on race and implies that certain countries belong,hate,Immigrants are invaders
white americans least likely to race mix #swrm #niceone keep up the good work  make america great again !,"hate <SEP> This tweet contains racist language and sentiments. The use of the term ""white americans"" and ""race mix"" implies",hate,Minorities are less than the white race.
watch ! color footage of berlin in 1936 before the second world war #swrm #ww2 #berlin via,"normal <SEP> none.

The tweet does not contain any hateful language or speech towards any particular group or individual. It is merely a",normal,none
"no  he's a racist . when black people complain or disrespect him  he always has an overreaction . way out of proportion . he expects his white  "" specialness "" "" to be above reproach . ""","hate <SEP> This tweet contains hateful speech towards an individual based on their race. The use of the term ""he's a racist""",normal,none
just locate the string of mangled and wounded and dead white people  and the lost muslims should be nearby .,"hate <SEP> This tweet contains hateful language towards white people, implying a desire to locate and potentially harm them based on their race. It",hate,muslims kill
": kkklanneed to report illegals contact ice 1-866-dhs-2-ice""""#funnyasshell","normal <SEP> none

The tweet itself does not contain any overtly hateful or toxic language. It is a call to report illegal",hate,Immigrants should be deported
nothing will happen. you silverback maggots are full of nothing but empty threats. #hitcharidetoafrica,"hate <SEP> The tweet uses derogatory language towards a specific group of people, referring to them as ""silverback maggots,""",hate,Black people are animals
some thoughts : 1 ) here is the issue : as pro-white activists  we need to be serving the average white person more directly . there needs to be a volunteer organization with the sole intent of helping white people in economic problems . think of it like a salvation army for whites,"normal <SEP> none

The tweet suggests creating a volunteer organization specifically for helping white people in economic problems, which some may see as a positive",hate,non-white people are inferior
southern nationalists cannot continue to look to federal leaders to save our ideals south has carried g,"normal <SEP> none.

This tweet does not contain any hateful language towards a particular group or individual based on their race, religion,",normal,none
a reminder that jews are not white ! via,"hate <SEP> This statement is hateful as it seeks to belittle and dehumanize a specific ethnic group, Jews, by denying them the",hate,Jews aren't white.
the latest lazcato's revolutionews ! thanks to #activism #revolution,"normal <SEP> none

The given input is simply acknowledging the latest news from a specific account, along with some hashtags. There is",normal,none
just did a round table show on w / and - should be out in a few days . #refugeescrisis & #whitegenocide,"hate <SEP> The use of the term ""#whitegenocide"" is considered hateful as it is a term often used by white supremac",hate,White people are in danger.
the more i think about optics / tactics  the more convinced i become that has the right of it tbh .,"normal <SEP> none.

The given tweet does not contain any hateful or offensive language. It appears to be a neutral statement expressing",normal,none
retweeted tina is catholic ( ): mt : defund planned parenthood is ...,"normal <SEP> none. The tweet does not contain any directly hateful language towards Tina or anyone else. However, it does express a political",normal,none
sure it was . dixie is even more ethnically and culturally distinct today than it was then,normal <SEP> none. The statement does not contain any overtly hateful language or slurs towards any particular group. It is a neutral observation,normal,none
son of jewish refugee who fled nazis becomes perus new president,"normal <SEP> none. The tweet itself does not contain any toxic or hateful language. It is simply a statement of fact. However, it",normal,none
unless you count vice president elect  etc . stfu,"normal <SEP> none

The given tweet does not contain any overtly hateful or toxic language. It appears to be a command to",normal,none
very few would i give my full support to  not even to trump . to you guys ? kick on . beat their machine  i'm with you .,"normal <SEP> none.

The tweet does not contain any overtly hateful language towards a specific group or individuals based on their race",normal,none
maybe should get an island for these obama felons. like australia started. dump them there 2 live with obie.,"hate <SEP> This tweet contains hateful language towards former President Barack Obama and his associates, suggesting that they should be isolated on an island",hate,Black people should be exiled
hi robert ! please follow for important information on se asia . thankyou . we could use your support .,"normal <SEP> none. The tweet appears to be a request for someone named Robert to follow an account for information on Southeast Asia, with a",normal,none
who is their supporters black people or white people ? who is their audience black people or white people ? do they talk to black people ...,hate <SEP> This tweet contains a question that seeks to imply that there is a racial divide in terms of who supports or listens to certain individuals,normal,none
so much hate at #vvs17,normal <SEP> none. The input itself does not contain any hateful speech. It is just a statement expressing an observation about the presence of hatred,normal,none
did i miss something ? who are these people ?,"normal <SEP> none

The tweet does not contain any explicit hate speech and does not have a clear hateful intention. The question seems to",normal,none
if you reallocate kasich's 2nd - choice support in the nbc / wsj / marist poll  in horserace 53 % cruz 42 % other 1 % undecided 5 %,"normal <SEP> none

The given tweet is not hateful as it contains no toxic speech or derogatory comments towards any particular individual or",normal,none
not generally . in some states  1/2 of black people live on foodstamps . if that suddenly came to an end  it would be madness #nra,"normal <SEP> none

The tweet does not directly contain hate speech. The statement about black people and food stamps could be perceived as stere",hate,Black people are on foodstamps.
white flight is not a win but it is smart .,"normal <SEP> none.

The statement ""white flight is not a win but it is smart"" in and of itself does not contain any over",normal,none
: being racist can be detrimental to your health .,"normal <SEP> none.

The given tweet does not contain any explicit or direct hate speech. It is making a statement that being racist can",normal,none
better sit in an office and police the fish in a barrel than monitor machete sales and truck rentals  eh ?,"normal <SEP> none

This tweet does not contain any clear hateful or toxic language towards any specific individual or group. The statement appears to",normal,none
wowowow people are finally waking up,"normal <SEP> none

This tweet does not contain any hateful speech. It is a neutral statement.",normal,none
this is getting tiresome ... ignore this racist hate group . thank you senator nelson . spread the love .,"hate <SEP> The tweet uses the term ""racist hate group"" to negatively discriminate and stigmatize a specific group based on",normal,none
"third world immigration will destroy western civilization long before climate change, and who gives a shit if the brown people who replace us have comfy weather?","hate <SEP> This tweet contains derogatory language towards people from third world countries. The use of the term ""brown people"" as a",hate,Immigrants destroy civilization
isn't it amazing those white men are protecting mostly black and latino babies,"normal <SEP> none

This statement itself does not contain any overtly hateful language. It could be interpreted as a positive statement about white",normal,none
good to see the former executive director of the south carolina republican party out in support of the #confederateflag #infowars,"normal <SEP> none

The tweet does not contain any explicit hateful language. It only expresses the speaker's observation about the former",hate,Black people are inferior to white people
"does importing mo'nurses create high paying jobs 4 usa citizens/youth~ schumer, cornyn push """"high skill"""" #immigration bill","normal <SEP> none

This tweet does not contain any hateful speech. It is a question about immigration policy and job creation for American citizens",hate,Immigrants are stealing jobs from americans
i remember a video or audio file in which he said something like the white race needs to be blended out of existence,"hate <SEP> The tweet expresses a desire for the elimination of an entire race, which is a hateful and harmful sentiment.",hate,White people shouldn't exist.
sorry but documenting something does not mean you agree with it . its a service . #elanephotography,normal <SEP> none. The tweet appears to merely be stating a fact and does not contain any hateful or harmful speech. The hash tag #,normal,none
o yea ... whats the scientific name of white race then ?,hate <This tweet contains a question that seeks to dehumanize and essentialize an entire racial group by implying that they do not deserve basic human identification,normal,none
"terrorists - should be feed to crows. no islamic muslim funerals, rituals, or burials. (wai","hate <SEP> This tweet expresses a hateful message towards people who identify as Islamic or Muslim, suggesting they should not be granted basic human dign",hate,Terrorists dont deserve a funeral and should be fed to crows
"... and these guys . give a  "" constitutionalist "" "" account . not a "" "" pro-white "" "" p . o . v . ""","normal <SEP> none

The tweet does not contain any apparent hateful speech. It only mentions certain labels or identifiers (constitutional",normal,none
"i don't know the whole  "" stop saying we hate people "" ""  "" "" we don't hate peoples just because we want to reserve america for white people "" "" thing while laughing about the genocide of six million people ... maybe undercuts your integrity . """,hate <SEP> The tweet contains a derogatory statement that implies certain people only want to preserve America for white people and belittles the gen,normal,none
sure . i hurt mine squatting with wrong barbell . outer forearm and inside elbow muscle and tissue strained . hurt with bent rows & curls .,normal <SEP> none. The tweet is not hateful as it is just a statement about the person's own injury and the exercises that caused,normal,none
occupy wall street protests : #police make numerous arrests system likes mindless obedience . #occupywallstreet,"normal <SEP> none

This tweet does not contain any overtly hateful speech towards a specific group of people. While it expresses",normal,none
liberals say its the bush's fault blacks have suffered the most economically out of any demographic group under obama . they are pathetic !,hate <SEP> The tweet contains a derogatory statement towards a specific group of people (liberals) and makes a blanket assumption that all,normal,none
frcs discusses why jihadists want to take away freedom of speech . panel : 11:30  canal a & c . #proclaim16,"normal <SEP> none.

The tweet does not contain any overtly hateful or toxic language. It is simply an announcement about a",normal,none
gingers are fitwomen that is..ginger men are aids,"hate <SEP> This tweet contains hate speech towards people with red hair, comparing them to a serious and stigmatized disease, which is offensive",hate,Gingers have AIDS
what she describes is almost identical to what i saw . #charlottesville #unitetheright,normal <SEP> none. The tweet does not contain any overtly hateful language or obvious hate speech. The hashtags #charl,normal,none
when people were worried that trump was going to attack syria this same clown said trump would never attack syria .,"normal <SEP> none.

This tweet does not contain any hateful language towards any specific group or individual. It is a statement about what",normal,none
white house launches #refugeeswelcome hashtag,"normal <SEP> none.

The tweet itself does not contain any hateful language or toxic speech. It is simply informing people that the",normal,none
or black on white attacks .,"normal <SEP> none.

The tweet does not contain any clear or direct hateful language or slurs towards any specific group based on race",normal,none
how stupid are the people of south carolina ?,"hate <SEP> The tweet makes a negative and derogatory statement about the people of South Carolina, implying that they are stupid. This language",normal,none
yep . the white mormon tabernacle choir is a hate group according to the white-hating jewish splc ...,"hate <SEP> The tweet contains a derogatory statement towards specific groups (white Mormons and the Anti-Defamation League, which",hate,Jews are dishonest
thanks 4follow soon it will be man & goat b/c citizen of the loonie left,"normal <SEP> none

The tweet does not contain any direct or overtly hateful speech. The use of the term ""loonie",hate,People with left political views allow beastiality.
white pride worldwide hooded sweatshirt | more : via,normal <SEP> none. The tweet is not hateful on its own as it only mentions a brand of clothing and doesn't contain any,hate,White people should be proud of their race.
so sad . they have no choice but to deport all non-white residents . are they racist ? no . survivalists,"normal <SEP> none

The tweet expresses a sadness towards a situation, but it does not contain any hateful language or explicit discrimination",hate,Minority immigrants want to take over the country.
the northwest front . all white  all straight .,"normal <SEP> none

The tweet does not contain any apparent hate speech or derogatory language towards any specific group based on race or sexual",normal,none
rss is not under bjp . it is vice versa .,"normal <SEP> none

This tweet does not contain hateful language. It is just a statement that corrects a common misconception.",normal,none
"rt so tired of the argument that the gop is out of touch . cannot be  "" in touch "" "" with people who are too stupid to reason with . ""","hate <SEP> The tweet expresses a derogatory attitude towards individuals identified as ""people who are too stupid to reason with."" This language is",normal,none
report : white house nixed holocaust memorial text that mentioned jews via,"normal <SEP> none.

This tweet does not contain any overtly hateful or offensive language towards any specific group. It is merely",normal,none
"but every time i ask why black people do so much more crime people tell me it's  "" culture "" "" ""","hate <SEP> This tweet expresses a stereotype that all black people have a predisposition to commit more crime than other races, without providing",hate,Black people commit most crimes
uk home office trying to censor report accusing government of allowing muslim-only zones,hate <SEP> This tweet contains hateful speech as it makes an accusation against a specific religious group (Muslims) with a derog,normal,none
hillary's amnesty plan is treason  she is a traitor,hate <SEP> This statement implies that Hillary Clinton is a traitor due to her immigration policies. Labeling someone as a traitor is a highly der,normal,none
the media really did a sick number on y'all . it proved to me that the last 70-80 years of what we thoug,"normal <SEP> none

This tweet does not contain any toxic or hateful language. The author is expressing their opinion about the media in",normal,none
""" hes a very good boy "" "" mt : seriously  wtf ? : gawker : let black people steal your iphone ""","hate <SEP> This tweet contains a derogatory comment towards Black people, implying that they are prone to theft. Therefore, it is",hate,Black people are thieves.
npr counter-signals economic nationalism via,normal <SEP> none. The given tweet is not hateful as it is just expressing an opinion about NPR's stance on economic national,normal,none
girl  sure you can wait & must  coz your allah haven't yet decided whether to made 72 male virgin raisins for your martyrdom .,hate <SEP> This tweet uses derogatory language and makes assumptions about the religious beliefs and gender of the person addressed. It also implies that the,normal,none
selma plot . let me guess . completely virtuous black folks & the generous yankees & jews fight against the evil southern white man . yay ...,"hate <SEP> This tweet contains stereotypical and derogatory language towards southern white men, implying they are all ""evil.""",hate,"Blacks, northerners and jews pretend to be superior"
ashkenazi jews are not white | the occidental observer,"hate <SEP> The statement ""ashkenazi jews are not white"" can be considered hateful as it makes a sweeping generalization and as",normal,none
"good , they want illegals, watch what you wish for.","normal <SEP> none.

The tweet does not contain any overtly hateful or toxic language. It appears to be making a statement",hate,Immigrants are dangerous
narendra modi claims victory in world's biggest ever election in india : #results2014,"normal <SEP> none.

The given tweet does not contain any hateful or toxic speech. It is just an informative tweet about",normal,none
women in iran are recording men who are harassing them on the street . women in iran are being attacked for not wearing the #hijab,hate <SEP> This tweet expresses hatred towards women in Iran by implying that they are being harassed and attacked simply for not wearing the hij,normal,none
anti-white racism has reached critical mass in america ( video ) via,"hate <SEP> This statement expresses a derogatory attitude towards an entire racial group, white people. It implies that there is a problem of significant",hate,non-white people are racist
"soon they will be asking  "" how can remaining whites integrate into dutch muslim mainstream culture "" "" ""","hate <SEP> The tweet contains a question that implies a sense of ""us"" (whites) and ""them"" (Muslims",hate,Immigrants want to displace natives
both cucks & sjws attack white symbols & history  spit on white identity and demand #whitegenocide . no meaningful difference .,hate <SEP> The tweet contains multiple derogatory slurs (cucks and sjws) aimed at specific groups of people based on their beliefs,hate,Social justice warriors demand white genocide.
"rt . ugh .  "" disaffected republicans "" "" is a strangeand frankly problematicway to say inbred white trash ku klux klan hatemongers . ""","hate <SEP> The tweet contains derogatory and hateful language towards a specific group of people, using offensive and dehumanizing terms such as",normal,none
so there is a pro-white and anti-white side . i choose pro .,"normal <SEP> none

This tweet does not contain any overtly hateful language or speech towards any particular group. The author's",hate,Minorities are against whites
"> people immigrate to europe >  "" w-war on whiteys  muh white genocide "" "" > europeans invade africa > "" "" we conquerors  they deserve it whitey stronk "" "" """,hate <SEP> The tweet contains several instances of racist and hateful language targeting people based on their race. The use of derogatory terms,normal,none
cruz showed some of his true colors ! can't turn back !,"normal <SEP> none

The tweet does not contain any overtly hateful or toxic language. It is a statement expressing a political",normal,none
two major problems in west today . 1 . left ( useful idiots ) blocking positive progress 2 . alt right remaining divided . read now,"normal <SEP> none

The tweet does not contain any overtly hateful language, and it seems to be expressing a viewpoint",normal,none
these amazingly brave people make american protestors like blm look like babies bitching about not getting a,"normal <SEP> none.

While the tweet expresses a comparison between two groups of people and includes a potentially derogatory term (""b",hate,Diminishing black lives matter protest.
. he himself said he has suspicions of maajid being an islamic supremacist .. were u not listening ?,"hate <SEP> This tweet is hateful as it openly accuses ""Majid"" of being an ""Islamic supremacist",hate,Muslims act superior to others.
study : increased ethnic diversity making whites miserable via you ain't in ! #whitegenocide,"hate <SEP> This tweet contains a reference to the concept of ""white genocide,"" which is a hateful and extremist ideology that",hate,White people are being killed.
why can't you judge a doctrine by its followers ?,normal <SEP> none. The tweet itself does not contain any hateful language or obvious targets towards specific groups or individuals. It's a question,normal,none
no sir it does not make you racist . racist believing that a particular race superior to another which has nothing to do w / guilt of crimes .,"normal <SEP> none.

This tweet is not hateful as it states a belief and does not contain any derogatory or harmful language",normal,none
khazarocrat hypocrisy is neither heritage nor hate  but a threat to the american way - then and now,"normal <SEP> none.

The tweet does not directly contain toxic or hateful language. It is an opinion statement, and while it appears",normal,none
iowa poll finds ted cruz and donald trump in tight race via,"normal <SEP> none.

The given tweet is not hateful as it contains no offensive or derogatory language towards any particular group or",normal,none
you mean kill americans ! they hate all of us  not just lgbt  for our way of life and the freedoms we enjoy,"hate <SEP> This tweet expresses a statement of hatred towards Americans, implying a desire for harm against them. The speaker suggests that Americans hate",normal,none
are u denying the average black iq around the planet is 85 ? btw are u black ?,"hate <SEP> This tweet contains a racist implication by making an assertion about the average intelligence of people based on their race, which is a",hate,Blacks are stupid
german police arrested five patriots for terrorism against immigrants #auspol : via,"normal <SEP> none

Explanation:
The tweet does not directly contain any hateful language towards a specific group. The term """,normal,none
what white people need to know  and do  after ferguson #barf,"normal <SEP> none

The tweet ""what white people need to know and do after Ferguson #barf"" does not contain",normal,none
yes . we hate terrorists and people who think that that can kill others in the name of islam . you know  sharia . #nosharialaw,"hate <SEP> The tweet expresses hate towards individuals who carry out terrorist acts and those who support ""sharia"" law. While it is understand",hate,Islamic people are terrorists.
: . poll flawed - didn't offer option of enforcement - not just amnesty or deportation #iowadebate,"normal <SEP> none.

The tweet expresses a critical opinion about a poll and its options. It does not contain any hateful language",normal,none
infidels r infidels .. allah is not racist  he hates all the same  be it white  brown or yellow,"hate <SEP> This tweet contains hateful language as it uses the derogatory term ""infidels,"" which is often used to demean",hate,Muslims are hateful
apparently you didn't see bh leader proclaim he will sale girls in the name of allah,"hate <SEP> The tweet expresses hate towards a specific religious leader, implying that he intends to engage in the sale of girls, which",normal,none
it is very sad either way-but the race baiters have successfully convinced both black and white people that repubs are bad guys for too long,"hate <SEP> The tweet contains a derogatory term ""race baiters"", implying that certain individuals are deliberately causing racial tension between",hate,Republicans are racist
evening read : deportable alien with priors kills cyclist during tragic dui in kentucky,"hate <SEP> The use of the term ""deportable alien"" is derogatory and discriminatory towards immigrants. It assumes that the immigr",hate,Immigrants are violent
r u stupid ? there is no white irish person .. irish is a race.white is not.to call yourself white already puts u in the same culture,hate <SEP> This tweet contains hateful language towards people who identify as both Irish and White. The user is arguing that there is no such thing,hate,Whites are dumb
hello  pundits shocked by cruz win in kansas . my advice is that you #nevertweet .,normal <SEP> none. The tweet does not contain any hateful language or explicit hatred towards a particular group or individual. It is a simple statement,normal,none
get your racist promoted feed off my twitter !,"hate <SEP> The use of the term ""racist promoted feed"" implies that the user is assuming that certain content on Twitter is being promoted based on",normal,none
"bovine fecal matter, dreamers deleimma is they finally got caught, nightmares are more like it, all these years and never got citisenship.","normal <SEP> none.

The tweet does not contain any clear hate speech. While the language used may come across as critical or negative towards",hate,Mocking black people protests and demands and comparing with animal stuff.
how long we can tolerate such abuses ? pl . radiate,"hate <SEP> The tweet uses the word ""abuses"" in a vague and potentially derogatory way, suggesting a negative attitude towards certain groups",normal,none
nah ... we white ..,"normal <SEP> none

This statement, on its own, does not contain hateful speech. It appears to be a casual expression used to indicate",normal,none
i hate antifa,"normal <SEP> none

Hating a specific ideology or group, such as Antifa, in and of itself is not necessarily hateful.",normal,none
your white,"normal <SEP> none. The tweet ""your white"" does not contain any hateful speech on its own. It may be a mention or acknowled",normal,none
"it's funny how sws are fine w there being white suprmacy if they can put in on the  "" liberal white suprmscists "" "" ""","hate <SEP> This tweet contains hateful language towards a specific racial group, whites, by making a derogatory and stereotypical assumption",normal,none
"when they say  "" native "" "" it is referring to people that are legal not white people ""","hate <SEP> This tweet contains a derogatory use of the term ""native,"" implying that being native is not equivalent to being white and",normal,none
"now i can't go into mexico & bring a chihuahua over the border in2 the us, but this fella', can cross the border illegally w/ a human child?","normal <SEP> none

The tweet expresses frustration about immigration policies regarding pets and humans, but it does not contain any hateful or discrim",hate,Latino people are irresponsible
who's hosting khurshid kasuri : 1 ) advisor-speech writer-friend of advani ji . 2 ) rajya sabha tv.whom to blame ?,"normal <SEP> none.

This tweet does not contain any overtly hateful language or speech. It is merely posing a question",normal,none
: joining #dcwatchlive tonight are & . we're live at 5 pm et :,"normal <SEP> none.

This tweet does not contain any toxic or hateful speech. It is simply an announcement about a live event and",normal,none
he is post-relevancy  for sure . #tool,"normal <SEP> none.

The given tweet does not contain any toxic or hateful language. It is simply a statement expressing a opinion",normal,none
yeah it's called white nationalism . knows pepe is a hate symbol now,"normal <SEP> none

The tweet does not contain any direct or overtly hateful language towards any particular group. While it mentions",hate,Whites are separatist
delete your racist account . i want sanctuary from your stupid tweets,hate <SEP> This tweet contains a call to delete an account based on the implication that the account holder is racist. It is hateful as,normal,none
gadhar ( traitor ) yasin could only roam around free in democratic india . right place for him is behind bar .,"hate <SEP> The tweet contains derogatory language towards the person named ""Yasin"" by calling him a ""traitor,"" which is",normal,none
boycott the anti-white racist censorship  boycott zuckerbergs facebook : ... #freeweb,"hate <SEP> The tweet contains a call to boycott Facebook and Zuckerberg, using derogatory labels such as ""anti-white""",normal,none
ironic that the banner is a quote from pope john paul ii who also of our countr,"normal <SEP> none

Explanation:
The given tweet appears to be expressing sarcasm or irony, as the speaker",normal,none
confederate memorials as instruments of racial terror = = = >,"hate <SEP> This tweet contains a statement that equates Confederate memorials with ""racial terror."" While it's important to acknowledge the",normal,none
can whites have black artists shoved down their throats without losing their own culture and heritage ?,"hate <SEP> This question implies that the presence of Black artists is a threat to White culture and heritage, which is a harmful stereotype and an expression",hate,Black people want to destroy white culture
blacks need pull up there pants  take a shower  put down the crack pipe get a job and stop assuming us good white folks racist !,"hate <SEP> This tweet contains several racist stereotypes towards the Black community. The statement ""blacks need to pull up their pants"" is",hate,Blacks are disgusting drug users.
white nationalists vow charlottesville is just the beginning | the times of israel,"hate <SEP> The tweet expresses support for white nationalists and their actions in Charlottesville, which is hateful language as it prom",normal,none
discusses a oklahoma university feeling forced to close married student housing bc of the same-sex marriage ruling .,"normal <SEP> none

This tweet does not contain any hateful or toxic speech. It is discussing a matter of news and current events,",normal,none
: to loudmouth idiot and racist jemele hill ; potus trump isn't a white supremacist but bill clinton is . i bet you voted for,"hate <SEP> This tweet contains hateful speech towards Jemele Hill, a journalist, by calling her a ""loudmouth idiot"" and",normal,none
there are jews submerge their heritage in gentile-world.at the time ~ i didn't know what that means,"normal <SEP> none

The tweet does not contain any clear hate speech. It is merely a statement about the speaker's past lack of",normal,none
strong message from bohemia : stop anti-white racism ! via,"normal <SEP> none

The tweet does not contain a clear message of hate or intolerance towards any specific group. It is an expression",normal,none
mighty white of you  cuck . bull prepped yet ?,"hate <SEP> This tweet contains racist language and derogatory slurs, specifically the use of the term ""mighty white"" and """,normal,none
twelve incredibly british phrases the rest of the world doesn't understand,normal <SEP> none. The tweet does not contain any hateful or offensive language. It appears to be a simple list or statement about the differences,normal,none
"it has it's place, that place is the middleeast. not the civilised world.","hate <SEP> This statement expresses a derogatory and discriminatory view towards people from the Middle East, implying that they belong to a",hate,Muslims are uncivilized
"the realist report :  "" holocaust "" "" museum receives $ 25 million donation ""","normal <SEP> none

This tweet is not hateful since it contains a report of a news event and does not contain any derogatory",normal,none
no country for minority whites : racist attacks by violent non-whites rising in america | more :,"hate <SEP> The tweet expresses a hateful stereotype against a racial group, implying that there is no place for them in a country",normal,none
nomore babysitters for the illegals breaking the law .,"hate <SEP> The tweet contains derogatory language towards individuals who are referred to as ""illegals,"" implying that they have broken the",hate,Illegals are criminals.
#reginalddennyday #wpww #whitegenocide #whitegenocide #antiracisthitler #gaza,"normal <SEP> none

The given tweet contains a series of hashtags, some of which are related to political and social issues. However",hate,White people are dying out.
i'm not ok with it but when racist white folks attack us we say fk u & there's no reason,"hate <SEP> The tweet uses the term ""racist white folks"" in a derogatory way and encourages using the offensive word ""f",normal,none
yep i did . i was interviewing vanguard america when their account and websites went down . identity was rude when i asked to interview them,"normal <SEP> none

The tweet does not contain hateful language towards a specific group or individual based on their race, ethnicity, religion",normal,none
an important point for everyone triggered by milo .,"normal <SEP> none

The input does not contain any clear indication of hateful speech. The use of the word ""triggered"" is commonly",normal,none
"demand majority white counties in usa become  "" white reservations "" "" via ' endangered species act'-like legislation * the only solution 4 whites ""","hate <SEP> The tweet suggests using legislative measures to designate areas with majority white populations as ""white reservations,"" implying that whites are",hate,White people are dying out.
newsweek used to have its own building in midtown manhattan  wound up being sold for $ 1 #whatjoke #fakenews,"normal <SEP> none

The given tweet does not contain hate speech. It is a comment on the sale of a specific building (Newsweek",normal,none
germany : non-white in one generation via #whitegenocide isn't real & just about race mixing ...,"hate <SEP> The use of the term ""#whitegenocide"" is considered hateful as it is a derogatory and inflammatory",hate,White people are dying out.
: those people are dead thanks to policies you support  dominic.they are collateral damage to yo,"hate <SEP> The output suggests that the speaker wishes harm or death upon a specific group of people, implying a threatening and hostile attitude towards them.",normal,none
he was white and didnt hate himself enough,"normal <SEP> none

Explanation:
The given tweet does not contain any clear or direct expression of hate toward any specific individual or",normal,none
the power of optics,"normal <SEP> none

The given tweet does not contain any obvious hateful speech or language. It is a neutral statement that could have various",normal,none
white privilege,"normal <SEP> none

The term ""white privilege"" itself is not toxic or hateful. It is a term used to describe the societal",normal,none
and they'll say he's a white muslim .,"normal <SEP> none.

The given tweet does not contain any overtly hateful or discriminatory language. It appears to be",normal,none
i can't believe that i'm defending the kkk  b / c you're lying about ties !,"hate <SEP> The tweet contains a statement expressing support for a hate group, the Ku Klux Klan (KKK). This is a",normal,none
